index;paises;1970 Quantidade;1970 Valor;1971 Quantidade;1971 Valor;1972 Quantidade;1972 Valor;1973 Quantidade;1973 Valor;1974 Quantidade;1974 Valor;1975 Quantidade;1975 Valor;1976 Quantidade;1976 Valor;1977 Quantidade;1977 Valor;1978 Quantidade;1978 Valor;1979 Quantidade;1979 Valor;1980 Quantidade;1980 Valor;1981 Quantidade;1981 Valor;1982 Quantidade;1982 Valor;1983 Quantidade;1983 Valor;1984 Quantidade;1984 Valor;1985 Quantidade;1985 Valor;1986 Quantidade;1986 Valor;1987 Quantidade;1987 Valor;1988 Quantidade;1988 Valor;1989 Quantidade;1989 Valor;1990 Quantidade;1990 Valor;1991 Quantidade;1991 Valor;1992 Quantidade;1992 Valor;1993 Quantidade;1993 Valor;1994 Quantidade;1994 Valor;1995 Quantidade;1995 Valor;1996 Quantidade;1996 Valor;1997 Quantidade;1997 Valor;1998 Quantidade;1998 Valor;1999 Quantidade;1999 Valor;2000 Quantidade;2000 Valor;2001 Quantidade;2001 Valor;2002 Quantidade;2002 Valor;2003 Quantidade;2003 Valor;2004 Quantidade;2004 Valor;2005 Quantidade;2005 Valor;2006 Quantidade;2006 Valor;2007 Quantidade;2007 Valor;2008 Quantidade;2008 Valor;2009 Quantidade;2009 Valor;2010 Quantidade;2010 Valor;2011 Quantidade;2011 Valor;2012 Quantidade;2012 Valor;2013 Quantidade;2013 Valor;2014 Quantidade;2014 Valor;2015 Quantidade;2015 Valor;2016 Quantidade;2016 Valor;2017 Quantidade;2017 Valor;2018 Quantidade;2018 Valor;2019 Quantidade;2019 Valor;2020 Quantidade;2020 Valor;2021 Quantidade;2021 Valor;2022 Quantidade;2022 Valor
1;Africa do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120252;110730;0;0;0;0;1605;1085;0;0;0;0;1200;665;0;0;0;0;1876;1124;12014;7685;10689;7312;12754;8635;14379;10961;11839;9400;37353;31729;38796;34605;74388;71839;67758;68254;43104;40489;13125;13209;7154;5841;22029;17551;21618;18334;0;0;0;0;0;0;0;0
2;Alemanha;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1170;2497;2832;2704;4521;7206;4407;4792;13185;22088;2880;1901;0;0;0;0;0;0;0;0;0;0;0;0;600;1791;0;0;0;0;0;0;60850;68950;0;0;0;0;0;0;0;0;0;0;0;0;6496;46692;6540;75902;0;0;80;652;0;0;0;0;0;0;0;0
3;Argentina;0;0;0;0;0;0;3600;1350;10200;3500;6;5;0;0;0;0;2790;2850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1575080;713219;2452094;3673253;224130;163512;1901597;1339369;1875689;1367706;506860;499644;10200;6800;2950;3540;0;0;708655;549282;1050503;830357;2796195;2428563;2057726;1994801;2003660;1845406;2022110;1659478;1379960;869223;0;0;2237000;994132;850000;658747;974970;870222;1775000;1535250;1297680;1095590;0;0;0;0;108000;138240;0;0;0;0;0;0;0;0;0;0;59028;80898;72900;90518;2998;3139;0;0;0;0;0;0;0;0
4;Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;348;0;0;0;0;35210;16029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3264;3254;0;0;0;0;0;0;0;0;0;0;1333;1467;0;0;666;655;0;0;0;0;0;0
5;Canadá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;233;0;0;0;0;0;0;0;0;0;0;19728;4558;26404;12195;21665;8124;995;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Coreia do Sul, República;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158204;117269;0;0;0;0;303420;250582;112762;90300;5141;1800;8255;2645;0;0;5400;2145;4805;1344;7379;2365;0;0;0;0;735;270;16661;17249;15080;18097;130902;136380;542548;577061;176796;227252;12655;14784;85145;49712;30022;44524;28927;41276;77955;99441;0;0;0;0;0;0;0;0
7;Coreia do Norte, República;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56000;49405;25100;20413;11560;9062;19071;8389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16704;24698;15651;22621;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;79000;100000;82500;0;0;5050;2940;158480;101920;563267;423616;476840;374322;118194;133715;0;0;136;253;0;0;1391570;1502228;27000;28350;0;0;0;0;0;0;0;0;225000;292500;100000;130000;0;0;1015000;3003445;0;0;0;0;0;0;0;0;23790;29024;94940;183525;0;0;0;0;0;0;0;0;0;0;0;0
9;China;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5338;1465;0;0;0;0;4200;1715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2475;2098;0;0;0;0;0;0;0;0;0;0
10;Dinamarca;0;0;34;16;20;8;80;38;0;0;0;0;0;0;0;0;0;0;49;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Espanha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4617;2836;3058;955;2208;1945;3986;2780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9588;8215;0;0;0;0;0;0;0;0;422;806;0;0;0;0;0;0;0;0
12;Estados Unidos;0;0;210;777;0;0;7;7;731;406;3364;859;3265;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954;3280;0;0;1958;2350;0;0;12543;11798;0;0;3597;3040;4639;5286;51921;200121;15892;11721;15896;8557;16985;11059;5394;11240;10338;19754;6089;11831;0;0;3536;4555;10450;13762;9044;12130;20842;25866;2028;3604;8455;14898;13178;24066;10657;17793;12487;13866;13498;9740;32044;34722;0;0;23578;28765;68730;108205;32691;40554;14541;8226;9273;14093;28180;25418;25693;16742;29414;16781
13;França;0;0;81;48;36;32;27;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74489;61975;14;52;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;862;2229;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Guiana;0;0;0;0;0;0;35;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Israel;0;0;0;0;0;0;0;0;18;8;225;112;405;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234;240;468;480;0;0;421;643;312;476;291;538;180;250;135;187;4079;2483;3700;1488;11663;6217;374;282;840;1400;1170;2192;0;0;0;0;2475;3891;5879;8140;3249;4082;1965;2857;900;1551;900;1783;1125;1684;0;0;1139;2021;2528;4831;0;0;2575;4651;1200;1656;5340;7399;840;1034;3360;3609;0;0;720;969;0;0
16;itália;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;771457;408318;0;0;225;771;774;1594;1161;4254;0;0;0;0;0;0;0;0;0;0
17;Japão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;226;0;0;800;800;760;640;0;0;270;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Líbano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455;819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;México;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2490;1523;44668;36188;504734;271595;1919238;863521;314075;108319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Países Baixos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Panamá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10238;8908;38321;37176;0;0;0;0;0;0;0;0;0;0
23;Portugal;0;0;160;109;125;82;1402;732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1151;3796;0;0;0;0;0;0;0;0;4500;5576;0;0;0;0;0;0;0;0;0;0
24;Reino Unido;0;0;0;0;458;189;244;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1734;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1632;1016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Taiwan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1632;1034;3672;2328;2040;1294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Turquia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6210;15446;0;0;13428;10216;5052;3846;0;0;27816;19461;0;0;0;0;0;0;0;0;0;0
27;Uruguai;0;0;0;0;0;0;0;0;0;0;0;0;15000;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500;1440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2139;1783;5786;4989;0;0;0;0;0;0;0;0;0;0;0;0;225;600;0;0;0;0;0;0;0;0
28;Venezuela;0;0;0;0;0;0;127;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;612;568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Outros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17186;8917;40266;18231;101957;31577;255509;138561;380790;384466;0;0;3186;1695;3004;911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
